 Teff  logg  FeH    profile            filter         wave_min wave_eff wave_max   c1    e1    c2     e2    c3    e3 
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.71     8.74    8.766 0.479 0.012 -0.541 0.024 0.211 0.012
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.78     8.81    8.836 0.484 0.011 -0.553 0.021 0.218 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.85     8.88     8.91 0.483 0.011 -0.553 0.021 0.218 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     8.92     8.95     8.98 0.477 0.011 -0.543 0.021 0.212 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER      9.0     9.02     9.05 0.468 0.011 -0.527 0.021 0.204 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.07     9.09     9.12 0.464 0.011 -0.523 0.021 0.203 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.14    9.164    9.195 0.459 0.012 -0.514 0.023 0.199 0.012
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.21    9.234    9.266 0.452 0.013 -0.501 0.024 0.192 0.012
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.28    9.305    9.336 0.446 0.012 -0.494 0.023 0.189 0.012
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.35    9.375     9.41 0.453 0.011  -0.51 0.022 0.198 0.011
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.42     9.45     9.48 0.453 0.011 -0.511  0.02 0.197  0.01
4600.0 4.59 -0.02 3-parameter MIRI.CLEAR.P750L.IMAGER     9.49     9.52     9.55 0.441  0.01 -0.488 0.019 0.185  0.01
