       wavelength    coef1       coef2         coef3       coef4
       10.650000      0.00000     0.776839    -0.975275     0.383355
       10.700000      0.00000     0.756022    -0.949293     0.373123
       10.750000      0.00000     0.752444    -0.938638     0.367735
       10.800000      0.00000     0.749629    -0.942052     0.370286
       10.850000      0.00000     0.765990    -0.955699     0.374265
       10.900000      0.00000     0.731210    -0.916596     0.360060
       10.950000      0.00000     0.731087    -0.912431     0.357672
       11.000000      0.00000     0.720613    -0.897272     0.351153
       11.050000      0.00000     0.715250    -0.895230     0.351202
       11.100000      0.00000     0.719173    -0.898260     0.352364
       11.150000      0.00000     0.744113    -0.933735     0.366989
       11.200000      0.00000     0.712976    -0.889945     0.348825
       11.250000      0.00000     0.717173    -0.895292     0.350942
       11.300000      0.00000     0.701162    -0.877376     0.344230
       11.350000      0.00000     0.704461    -0.882894     0.346873
       11.400000      0.00000     0.749932    -0.939028     0.368602
       11.450000      0.00000     0.682106    -0.850583     0.333322
       11.500000      0.00000     0.702671    -0.874077     0.341935
       11.550000      0.00000     0.665402    -0.826187     0.322967
       11.600000      0.00000     0.682886    -0.851233     0.333302
       11.650000      0.00000     0.705633    -0.878339     0.343812
       11.700000      0.00000     0.697221    -0.867700     0.339666
       11.750000      0.00000     0.653954    -0.812047     0.317726
       11.800000      0.00000     0.681224    -0.846712     0.331165
       11.850000      0.00000     0.666519    -0.834404     0.327802
       11.900000      0.00000     0.683409    -0.853138     0.334500
       11.950000      0.00000     0.683603    -0.850748     0.333074
